Run Date,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.39,,,,-60.39,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.39,,,,-60.39,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.4,,,,-60.4,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.4,,,,-60.4,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.4,,,,-60.4,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.41,,,,-60.41,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.42,,,,-60.42,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.43,,,,-60.43,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.44,,,,-60.44,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.44,,,,-60.44,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.45,,,,-60.45,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.47,,,,-60.47,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.47,,,,-60.47,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.47,,,,-60.47,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.49,,,,-60.49,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.49,,,,-60.49,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.49,,,,-60.49,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.5,,,,-60.5,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.5,,,,-60.5,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.5,,,,-60.5,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.5,,,,-60.5,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.5,,,,-60.5,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.5,,,,-60.5,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.51,,,,-60.51,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.51,,,,-60.51,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.52,,,,-60.52,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.52,,,,-60.52,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.52,,,,-60.52,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.52,,,,-60.52,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.53,,,,-60.53,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.53,,,,-60.53,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.53,,,,-60.53,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,1,60.53,,,,-60.53,3/19/2024
